Query_ID,Hit_ID,Hit_Description,Identity_%,Coverage_%,E_value,Confidence,AMR_Status
WP_000002068.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000002683.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000002973.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000003559.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000003759.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000003870.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000004086.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000004335.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000004947.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000004981.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000005886.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000006110.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000006556.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000007683.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000007967.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000008673.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000009063.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000009238.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000011538.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000011687.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000011688.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000011823.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000015639.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000017736.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000018608.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000019127.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000019687.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000019744.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000020304.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000020361.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000020800.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000020853.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000021445.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000021864.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000022323.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000022728.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000022887.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000023316.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000024128.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000024827.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000025274.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000025835.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000026194.1,gnl|BL_ORD_ID|1242,gb|AAG03380.1|ARO:3002703|cmx [Corynebacterium striatum] ,27.84,69.11,4.15486e-24,Weak,Possible
WP_000026308.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000027928.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000027972.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000028628.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000028659.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000029211.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000029536.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000030057.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000030812.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000031108.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000031268.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000031401.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000031515.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000031892.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000032657.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000032727.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000032836.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000032855.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000033477.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000034507.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000034716.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000034728.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000034961.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000035058.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000035320.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000035766.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000036005.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000036076.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000036088.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000036327.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000036631.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000036757.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000037075.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000037332.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000037508.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000038231.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000038517.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000038961.1,gnl|BL_ORD_ID|537,gb|KIX81495.1|ARO:3002813|lmrB [Bacillus subtilis] ,37.45,99.79,2.21872e-110,Weak,Possible
WP_000040054.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000040069.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000040575.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000040873.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000041883.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000041896.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000043161.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000043237.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000043634.1,gnl|BL_ORD_ID|1189,gb|CBH51823.1|ARO:3000556|tet(44) [Campylobacter fetus subsp. fetus] ,32.62,20.0,1.78632e-13,Weak,Possible
WP_000044363.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000044529.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000044799.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000046022.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000046076.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000046602.1,gnl|BL_ORD_ID|2212,gb|AAN28945.1|ARO:3003785|Ctra_murA_FOF [Chlamydia trachomatis] ,31.8,103.58,1.56162e-59,Weak,Possible
WP_000047009.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000047255.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000047348.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000047820.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000048060.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000048712.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000049154.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000049484.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000049919.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000050762.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000050973.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000051206.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000052078.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000052317.1,gnl|BL_ORD_ID|443,gb|AAV85982.1|ARO:3000535|macB [Neisseria gonorrhoeae] ,30.17,90.27,6.63647e-18,Weak,Possible
WP_000052590.1,gnl|BL_ORD_ID|5171,gb|BDR24828.1|ARO:3008223|IMP-97 [Klebsiella oxytoca] ,27.93,19.93,3.21655e-06,Weak,Possible
WP_000052781.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000054609.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000055337.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000055846.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000057330.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000057551.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000057594.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000057899.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000058383.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000060776.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000061866.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000062417.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000063582.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000064078.1,gnl|BL_ORD_ID|4613,gb|MBY8651251.1|ARO:3007191|vanR_in_vanP_cl [Enterococcus faecium] ,41.13,95.85,3.39674e-55,Strong,Yes
WP_000064214.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000064778.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000065035.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000066062.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000066097.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000066352.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000066378.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000066521.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000066900.1,No Hit,No AMR Match,0.0,0.0,-,None,No
WP_000066937.1,No Hit,No AMR Match,0.0,0.0,-,None,No
